id,state,destination,year,month,season,purpose_of_visit,visitor_type,number_of_visitors,avg_stay_days,avg_spend_inr,accommodation_type,transport_mode,rating_out_of_5
1,Himachal Pradesh,Shimla,2021,April,Summer,Honeymoon,Domestic,35791,1.8,56802,Resort,Flight,1
2,Goa,South Goa,2024,October,Spring,Business,Domestic,42640,7.3,56487,Hotel,Bike,2
3,Sikkim,Lachung,2021,December,Summer,Leisure,Domestic,14160,9.6,45618,Hostel,Bus,1
4,Madhya Pradesh,Khajuraho,2025,October,Monsoon,Family,Domestic,35192,2.1,51115,Homestay,Flight,1
5,West Bengal,Siliguri,2021,October,Monsoon,Wellness,Domestic,14985,8.0,11958,Resort,Flight,2
6,Madhya Pradesh,Indore,2022,March,Monsoon,Heritage,Domestic,17546,7.3,10858,Homestay,Bus,5
7,Assam,Tezpur,2021,August,Summer,Business,Foreign,41993,7.2,30285,Hostel,Bus,3
8,Maharashtra,Mumbai,2024,May,Autumn,Family,Foreign,37220,8.9,42745,Hotel,Train,2
9,Madhya Pradesh,Gwalior,2024,May,Summer,Heritage,Domestic,35372,3.4,57655,Resort,Train,5
10,Gujarat,Rann of Kutch,2021,August,Spring,Pilgrimage,Foreign,10066,6.6,56833,Hotel,Flight,5
11,Madhya Pradesh,Pachmarhi,2023,September,Autumn,Wellness,Foreign,802,7.1,16514,Homestay,Bike,5
12,Punjab,Amritsar,2025,March,Autumn,Honeymoon,Foreign,47214,3.4,67112,Hostel,Flight,2
13,Himachal Pradesh,Dalhousie,2025,October,Spring,Honeymoon,Domestic,10637,5.9,71014,Resort,Train,1
14,Punjab,Patiala,2024,June,Winter,Leisure,Domestic,15835,8.9,11822,Camp,Bus,1
15,Goa,Anjuna,2025,November,Summer,Pilgrimage,Domestic,34631,8.9,56961,Hostel,Bike,2
16,Karnataka,Gokarna,2021,November,Autumn,Honeymoon,Domestic,33969,5.1,33993,Houseboat,Bus,2
17,Punjab,Amritsar,2021,April,Spring,Wellness,Domestic,46439,6.7,31507,Guesthouse,Train,1
18,Punjab,Amritsar,2024,May,Summer,Backpacking,Domestic,8721,7.5,63453,Houseboat,Car,2
19,Jammu and Kashmir,Gulmarg,2021,November,Winter,Adventure,Domestic,30656,8.8,8600,Hostel,Bus,1
20,Madhya Pradesh,Gwalior,2022,April,Winter,Family,Domestic,9236,4.8,38009,Resort,Train,4
21,Goa,Calangute,2024,January,Winter,Backpacking,Foreign,6162,9.3,32482,Houseboat,Bike,2
22,Telangana,Ramoji Film City,2024,January,Autumn,Business,Domestic,25636,3.4,61138,Resort,Car,3
23,Assam,Tezpur,2021,April,Summer,Heritage,Foreign,38007,7.6,9489,Homestay,Train,3
24,Kerala,Thekkady,2021,September,Spring,Heritage,Foreign,5300,8.7,10481,Resort,Flight,5
25,Maharashtra,Mahabaleshwar,2023,April,Spring,Adventure,Domestic,5422,4.8,70022,Guesthouse,Bike,3
26,Karnataka,Gokarna,2024,May,Summer,Family,Domestic,19710,5.1,11008,Hostel,Train,1
27,Bihar,Vaishali,2023,September,Winter,Adventure,Domestic,22922,8.9,33518,Resort,Bike,3
28,Tamil Nadu,Madurai,2023,October,Monsoon,Backpacking,Domestic,36396,3.7,15077,Camp,Bike,2
29,Himachal Pradesh,Shimla,2024,May,Summer,Backpacking,Domestic,22521,2.8,36100,Homestay,Bike,5
30,Uttar Pradesh,Agra,2024,May,Autumn,Adventure,Domestic,8623,6.7,35835,Hotel,Flight,2
